5998,5920,6177,6525,6400,9777,17832, ,3104,3076,3267,3263,3440,5126,7804, ,2008,1868,1900,1892,1983,3063,3206, ,1305,1245,1460,1533,1465,2493,1626, ,997,1077,1066,1131,1167,1947,1781, ,804,777,902,867,834,2023,1677, ,862,767,847,967,874,2224,1684, ,
5964,5976,6268,6576,6326,9900,14560, ,3080,3188,3347,3355,3475,5128,7599, ,1768,1755,1787,1945,2100,3536,4393, ,1257,1558,1286,1399,1200,4019,2678, ,995,1037,1136,1084,1157,2567,2612, ,923,869,1011,1127,995,1746,1895, ,800,725,1059,1017,848,2068,1897, ,
5913,5948,6559,6618,6312,9942,15939, ,3084,3123,3323,3423,3372,4928,8465, ,2302,1702,1912,1832,2114,3621,3391, ,1203,1178,1415,1474,1403,3083,2333, ,1000,1114,1174,1019,1085,1956,1728, ,1024,802,867,957,974,1820,1577, ,778,717,1091,1126,990,1755,1369, ,
6036,5975,6177,6429,6353,9788,15663, ,3178,3045,3247,3316,3542,5592,9527, ,1653,1655,1718,1856,1735,3918,3806, ,1146,1230,1366,1327,1356,2374,1920, ,1049,1019,1130,1096,1209,2463,2274, ,983,892,979,1215,1052,2473,1526, ,1059,888,895,968,1007,1448,1619, ,
6061,6116,6434,6443,6482,9872,14306, ,3107,3037,3339,3357,3255,5442,5804, ,1692,1626,1982,1941,2006,3856,4149, ,1291,1226,1890,1541,1408,2402,2733, ,1074,1151,1127,1083,1270,2222,2163, ,840,878,1026,867,865,1929,1736, ,807,834,863,1006,886,2585,1007, ,
6001,5995,6434,6415,6335,9788,15617, ,3113,3105,3259,3243,3572,5211,9338, ,1706,1681,1801,1997,1844,4622,3441, ,1279,1308,1494,1442,1505,3067,3691, ,1110,975,1271,1215,1233,2047,1539, ,896,904,1083,1152,800,1837,1469, ,920,860,960,974,876,3246,1522, ,
6159,6007,6312,6610,6352,9895,17724, ,3033,3179,3247,3425,3179,6405,9133, ,1632,1628,1912,1959,1928,3177,5811, ,1251,1235,1434,1360,1294,2411,3449, ,1097,1043,1410,1132,1125,2874,2537, ,942,847,1084,992,1033,1500,2189, ,746,820,818,789,735,1622,1299, ,
6084,5980,6430,6488,6366,9908,15282, ,3425,3314,3341,3351,3534,7774,10177, ,1684,1678,1787,1907,2103,3611,3482, ,1206,1167,1364,1366,1356,3084,2175, ,1059,1049,1271,1163,1239,2422,1609, ,895,945,1058,984,1065,1334,1996, ,738,752,978,932,1051,1367,1541, ,
5997,5926,6529,6434,6437,9852,14316, ,3168,3097,3274,3305,3341,5304,8083, ,1675,1590,1975,1940,1907,3630,3654, ,1406,1217,1373,1324,1308,3420,2824, ,979,1077,1153,1115,1317,2831,1724, ,979,1002,936,952,899,2288,1486, ,785,903,886,894,888,1621,1218, ,
5939,5971,6519,6580,6419,9800,10680, ,3262,3225,3417,3427,3364,6499,5585, ,1729,1653,1881,1906,2090,5609,4126, ,1231,1201,1515,1502,1392,2434,3110, ,1098,918,1094,1081,1045,2502,2258, ,826,929,1024,1021,991,1620,1680, ,824,869,948,933,954,1819,1236, ,
6054,5910,6375,6454,6231,9857,12862, ,3200,3132,3208,3517,3326,6299,6786, ,1837,1709,1920,1884,1831,2772,3724, ,1472,1397,1416,1400,1415,4038,2310, ,930,987,1097,1029,1052,2388,2186, ,881,1001,1187,968,1064,2379,2376, ,857,754,940,847,1108,1609,1209, ,
5964,6009,6285,6402,6307,9870,13945, ,3143,3040,3376,3413,3509,6417,8896, ,1728,1781,1927,2031,1866,3887,2689, ,1223,1236,1378,1255,1481,2403,2261, ,962,962,1160,1222,1148,3362,1534, ,797,833,1073,976,1009,1945,1593, ,956,923,1006,1033,917,1923,1178, ,
6141,6004,6331,6369,6281,9777,19063, ,3253,3156,3355,3370,3356,5131,6628, ,1739,1764,1838,1880,2042,3460,3905, ,1301,1218,1469,1332,1398,3429,2951, ,1064,984,1290,1117,1153,3218,2156, ,924,897,950,1048,1078,1714,1435, ,875,855,974,933,830,1782,1270, ,
6091,6001,6287,6408,6308,9914,16811, ,3272,3150,3301,3515,3306,6318,8846, ,1579,1626,1857,1938,1851,3322,3068, ,1204,1412,1306,1626,1360,2626,2227, ,1041,1100,1222,1163,1356,2368,2609, ,897,799,1057,995,1053,1934,1325, ,774,854,875,902,867,1515,1401, ,
6082,5897,6282,6463,6482,9794,18509, ,3186,3135,3213,3388,3261,9486,7494, ,1665,1647,1835,1779,1977,3562,3563, ,1226,1289,1409,1364,1344,2310,2822, ,992,1042,1174,1169,1252,2117,1963, ,871,885,980,1153,899,3482,1568, ,713,802,780,831,798,1606,1406, ,
5983,5956,6288,6389,6467,9899,18572, ,3027,3163,3310,3430,3706,6034,7248, ,1711,1614,1845,1989,1812,3580,4463, ,1297,1277,1310,1455,1306,2312,3297, ,1034,975,1105,1109,1168,2431,2017, ,879,961,910,1003,911,2016,1712, ,882,777,861,1022,1097,2252,1385, ,
5968,5929,6289,6512,6325,9932,18011, ,3134,3107,3396,3288,3377,5375,8733, ,1716,1699,1928,2066,1943,3114,5252, ,1254,1263,1515,1311,1357,2220,3617, ,1080,1015,1346,1216,1168,2646,2341, ,885,820,1084,1059,1076,1699,2482, ,923,874,976,958,1096,2417,1267, ,
6121,6035,6247,6460,6318,9982,13525, ,3316,3268,3252,3237,3185,5820,9490, ,1588,1615,1857,1978,1927,4862,3421, ,1273,1259,1292,1441,1468,2286,4215, ,944,1095,1206,1048,1186,2502,2152, ,942,894,1108,994,889,1825,1474, ,789,802,818,821,892,1554,1526, ,
6041,5980,6574,6466,6504,9838,14844, ,2964,3022,3343,3519,3563,5480,10095, ,1737,1735,1746,1858,1928,3983,4539, ,1306,1194,1479,1480,1405,2853,2978, ,1024,1105,1095,1112,1113,2763,1923, ,819,950,966,1056,1075,2457,1658, ,707,723,826,901,786,1825,1578, ,
5941,5958,6346,6432,6456,9840,14778, ,3262,3077,3284,3350,3499,5379,6495, ,1722,1656,1973,1928,2201,3320,4042, ,1278,1286,1576,1426,1548,2914,3053, ,969,939,1041,1261,1228,2198,2133, ,949,1139,1088,1141,950,1628,1732, ,790,717,1002,973,1079,1720,1289, ,
5944,5928,6401,6526,6413,9908,14180, ,3275,3063,3305,3454,3388,5333,6258, ,1651,1686,1879,1876,1819,4108,3541, ,1301,1299,1328,1386,1332,2076,2638, ,1049,1137,1387,1174,1244,2822,1860, ,906,847,952,969,898,2606,1590, ,943,882,930,879,972,1723,1086, ,
6150,6035,6309,6378,6322,9814,19920, ,3085,3158,3365,3589,3625,5156,9836, ,1790,1624,1799,1810,1807,4388,5170, ,1266,1298,1352,1498,1494,2294,1923, ,1011,1074,1144,1284,1004,2046,2008, ,925,900,1046,1010,937,2053,1434, ,847,756,872,973,1122,2007,1307, ,
6082,6022,6408,6466,6436,9972,14419, ,3236,3192,3258,3347,3517,7335,10755, ,1751,1802,1906,1887,1897,5121,7639, ,1218,1432,1395,1431,1352,2682,2392, ,1049,1121,1072,1259,1303,2637,1588, ,854,851,1011,1054,1069,2132,1454, ,763,741,1113,985,1112,1639,1472, ,
6198,6046,6290,6502,6346,9858,16937, ,3063,3057,3301,3334,3333,5695,7065, ,1649,1792,1682,1829,1938,4411,5441, ,1230,1369,1346,1441,1332,2300,2589, ,953,1021,1125,1093,1296,1846,1859, ,868,863,1123,1086,1232,1847,1700, ,838,827,866,891,832,1498,1601, ,
6164,6203,6542,6473,6458,9862,18792, ,3120,3136,3449,3498,3333,5109,6459, ,1717,1788,1924,1770,1970,3010,3008, ,1241,1280,1272,1344,1395,3038,2420, ,1112,999,1079,1068,964,2423,1759, ,944,867,997,935,941,1918,1944, ,938,2211,920,902,856,2512,1354, ,
