comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,5554.01,5651.85,5300.08,7222.65,6827.08, , , ,2,4872.64,5021.64,4364.67,6347.11,7803.9, , , ,2,4395.83,4515.69,4076.93,7405.41,6908.08, , , ,2,4031.63,3934.7,4016.54,7618.61,6811.39, , , ,2,3903.92,3915.3,3972.45,7641.39,6862.99, , , ,2,3847.98,3824.8,3948.71,7497.92,6806.91, , , ,2,3797.28,3733.12,3954.3,7523.29,6750.9, , , ,2,3700.11,3660,3952.24,7517.6,6695.69, , , ,2,3683.47,3651.51,3947.68,7520.94,6697.24, , , ,2,3670.67,3641.17,3943.08,7521.51,6694.54, , , ,2,3670.49,3646.04,3940.51,7523.37,6698.02, , , ,2,3671.4,3642.98,3941.94,7526.84,6696.25, , , ,
4,3772.44,3870.69,3891.23,4775.56,5197.67, , , ,4,3134.69,3006.76,2914.72,4785.22,4962.18, , , ,4,2483.6,2536.44,2452.84,4820.52,4696.32, , , ,4,2228.52,2250.36,2223.49,4401.71,4628.31, , , ,4,2033.74,2021.04,2129.35,4243.8,4153.93, , , ,4,2006.36,1991.28,2118.26,4286.16,4349.43, , , ,4,2007.85,1956.81,2089.8,4287.51,4220.73, , , ,4,1997.58,1959.67,2072.82,4289.64,4220.55, , , ,4,2000.69,1955.59,2073.06,4287.81,4220.2, , , ,4,1993.68,1947.02,2072.46,4292.58,4219.32, , , ,4,1994.58,1945.61,2074.95,4290.63,4220.51, , , ,4,1995.89,1945.49,2079.04,4287.43,4219.73, , , ,
6,2770.88,3035.7,2715.7,4822.62,3218.88, , , ,6,1985.15,1974.83,1901.16,3569.8,3788.28, , , ,6,1681.82,1571.76,1733.48,3733.12,3767.54, , , ,6,1570.67,1454.32,1628.39,3809.44,3610.17, , , ,6,1440.08,1420.54,1506.38,3771.59,3362, , , ,6,1422.79,1407.41,1500.13,3771.6,3295.38, , , ,6,1419.7,1402.8,1502.96,3772.16,3426.71, , , ,6,1414.22,1402.46,1504.97,3775.71,3433.56, , , ,6,1416.44,1400.78,1496.45,3777.56,3431.75, , , ,6,1411.72,1402.15,1497.99,3777.6,3432.57, , , ,6,1413.72,1400.6,1499.17,3776.97,3432.96, , , ,6,1414.71,1399.93,1499.81,3777.9,3431.7, , , ,
8,2795.77,2574.24,2249.2,3513.85,3440.43, , , ,8,1446.6,1670.02,1442.94,2617.54,3312.4, , , ,8,1435.76,1266.48,1343.42,2490.14,3191.19, , , ,8,1131.74,1199.93,1236.4,2425.57,2731.55, , , ,8,1091.16,1136.89,1200.44,2449.55,2682.28, , , ,8,1079.87,1134.58,1189.74,2454.53,2667.91, , , ,8,1074.46,1132.89,1192.3,2452.43,2655.09, , , ,8,1078,1123.56,1200.28,2455.77,2645.02, , , ,8,1081.37,1118.46,1204.89,2456.27,2646.07, , , ,8,1079.21,1114.41,1203.77,2459.36,2638.63, , , ,8,1078.58,1115.53,1199.53,2458.13,2639.56, , , ,8,1078.48,1115.47,1200.71,2460.42,2638.82, , , ,
