comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,1867.85,1933.3,1801.1,1652.15,1451.9, , , ,2,1411.4,1517.45,1167.85,1563.15,1826.2, , , ,2,1095.2,1176.6,976.75,1826.65,2121.45, , , ,2,858.2,800.65,930.15,1789.95,1843.3, , , ,2,775.5,781,896.45,1791.1,2002.3, , , ,2,730.35,721.55,880.3,1792.9,2290.65, , , ,2,700.15,661.05,882.25,1801.25,2261.35, , , ,2,632.4,611.85,879.45,1801.25,2224.85, , , ,2,623.4,603.45,876.45,1801.25,2224.85, , , ,2,615.9,600.5,876.65,1801.25,2224.85, , , ,2,612.25,600.5,875.75,1801.25,2224.85, , , ,2,612.55,600.6,875.75,1801.25,2224.85, , , ,
4,2387.55,2583.65,2582.65,1772.9,1363.35, , , ,4,1718.5,1545.1,1466.4,1693.05,2187.45, , , ,4,1114.5,1197.8,1149.4,1801.85,2588.8, , , ,4,958.75,975.15,1025.25,1785.35,2902.15, , , ,4,843.7,822.7,1015.05,1783.45,2923.1, , , ,4,816.25,773.55,996.05,1805.95,3144, , , ,4,829.45,728.4,959.3,1805.95,2998.8, , , ,4,803.45,732.75,948.95,1805.95,2998.8, , , ,4,804.85,732.4,950.7,1805.95,2998.8, , , ,4,791.7,727.7,946.8,1805.95,2998.8, , , ,4,791.7,718.6,946.6,1805.95,2998.8, , , ,4,791,718.6,947.6,1805.95,2998.8, , , ,
6,2689.1,3055.4,2299.75,1810.6,1198.3, , , ,6,1564.7,1586.25,1620.3,1698.3,2550.25, , , ,6,1092.15,1070.85,1392.3,1744.4,3152.1, , , ,6,1049.5,922.1,1247,1794.1,3659.4, , , ,6,943.35,913.25,1155.9,1814.6,3576.95, , , ,6,921.3,900.05,1140.85,1814.6,3590.45, , , ,6,893.9,873.85,1139.5,1814.6,3726.75, , , ,6,886.2,867.3,1144.9,1814.6,3726.55, , , ,6,877,866.25,1136.15,1814.6,3726.45, , , ,6,872.6,866.95,1137.6,1814.6,3726.45, , , ,6,873.6,866.3,1133.9,1814.6,3726.45, , , ,6,873.6,866.3,1133.35,1814.6,3726.45, , , ,
8,3179.15,3140.2,2669.2,1935.55,1546, , , ,8,1510.75,1698.9,1637.55,1711.95,2771.15, , , ,8,1234,1240.85,1399.4,1814.7,3559.05, , , ,8,1017.1,1109.3,1273.5,1829.9,3844.05, , , ,8,953.35,1056.3,1278.8,1832.9,3751.7, , , ,8,928.85,1023.25,1265.7,1832.9,3809.2, , , ,8,923.8,1014.35,1263,1832.9,3770.65, , , ,8,925.75,1011.05,1255.95,1832.9,3646.4, , , ,8,925.55,989.65,1259.85,1832.9,3646.4, , , ,8,925.7,974.05,1261.15,1832.9,3726.45, , , ,8,923.65,969.75,1258.9,1832.9,3726.45, , , ,8,923.65,969.75,1262.45,1832.9,3726.45, , , ,
