comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,100,100,100,84.4364,88.3592, , , ,2,100,100,100,86.7546,96.4159, , , ,2,100,100,100,98.8034,98.8173, , , ,2,100,100,100,99.8001,99.3254, , , ,2,100,100,100,99.7862,99.7196, , , ,2,100,100,100,99.8001,100, , , ,2,100,100,100,100,100, , , ,2,100,100,100,100,100, , , ,2,100,100,100,100,100, , , ,2,100,100,100,100,100, , , ,2,100,100,100,100,100, , , ,2,100,100,100,100,100, , , ,
4,100,100,100,86.0439,86.3159, , , ,4,100,100,100,93.4342,96.8601, , , ,4,100,100,100,99.1588,98.9783, , , ,4,100,100,100,99.4614,99.814, , , ,4,100,100,100,99.4614,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,
6,100,100,99.9944,91.0522,82.6263, , , ,6,100,100,99.9944,94.9889,96.0689, , , ,6,100,100,99.9944,98.2871,99.4892, , , ,6,100,100,99.9944,99.5641,99.9889, , , ,6,100,100,99.9944,100,100, , , ,6,100,100,99.9944,100,100, , , ,6,100,100,99.9944,100,100, , , ,6,100,100,99.9944,100,100, , , ,6,100,100,99.9944,100,100, , , ,6,100,100,99.9944,100,100, , , ,6,100,100,99.9944,100,100, , , ,6,100,100,99.9944,100,100, , , ,
8,100,100,100,88.7729,88.7896, , , ,8,100,100,100,96.2965,99.0006, , , ,8,100,100,100,99.8334,99.5586, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,
