comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,6.42573,13.2003,19.0549,1214.17,720.521, , , ,2,15.9534,8.36899,16.9041,946.904,579.608, , , ,2,4.32984,6.09487,17.4123,1124.85,543.227, , , ,2,3.59548,4.67841,24.0208,1070.31,538.283, , , ,2,11.8763,3.62767,14.3195,1060.9,159.121, , , ,2,10.5084,9.58058,6.2578,922.906,114.055, , , ,2,10.0075,5.17953,5.65332,919.348,0.47697, , , ,2,10.6032,6.46142,5.86174,919.348,0.47697, , , ,2,8.93798,6.51824,5.9184,919.348,0.47697, , , ,2,8.99597,6.51824,6.14898,919.348,0.47697, , , ,2,8.99597,6.51824,6.19899,919.348,0.47697, , , ,2,8.98596,6.51824,6.22796,919.348,0.47697, , , ,
4,184.004,172.906,392.543,727.774,508.381, , , ,4,63.4729,16.6523,173.651,665.226,429.475, , , ,4,16.7358,23.7236,126.835,563.758,353.715, , , ,4,8.12696,8.63655,41.7964,467.069,272.061, , , ,4,12.4558,11.6244,25.9507,521.085,195.224, , , ,4,12.0897,11.0109,35.4177,536.933,201.562, , , ,4,11.9619,12.0036,13.1045,536.933,132.523, , , ,4,11.109,12.8782,12.8151,536.933,132.624, , , ,4,15.6028,12.8782,13.1319,536.933,132.624, , , ,4,15.6028,13.0694,15.8319,536.933,132.624, , , ,4,15.4447,13.0694,13.5761,536.933,132.624, , , ,4,15.6028,13.0694,13.855,536.933,132.624, , , ,
6,128.909,116.695,199.931,681.365,419.37, , , ,6,92.5919,247.87,64.4496,452.032,284.935, , , ,6,14.1524,183.486,52.2088,388.684,248.154, , , ,6,31.3177,21.8812,23.2088,399.388,128.425, , , ,6,13.4763,13.9861,17.7494,244.489,70.8397, , , ,6,12.7671,12.1145,18.0613,231.233,73.7945, , , ,6,12.377,15.6565,21.9123,241.361,98.5987, , , ,6,10.9338,14.1753,21.7589,241.361,98.5987, , , ,6,10.837,14.452,21.5325,241.361,98.5987, , , ,6,10.8696,14.1722,21.5227,241.361,98.5987, , , ,6,11.1529,13.0747,21.8844,241.361,98.5987, , , ,6,11.1529,13.0747,22.8549,241.361,98.5987, , , ,
8,200.934,111.48,251.673,335.093,219.01, , , ,8,59.6453,23.7349,85.5283,243.315,145.132, , , ,8,36.023,31.1616,62.4343,229.687,127.661, , , ,8,13.4918,20.3652,27.1615,217.844,133.8, , , ,8,14.5509,22.4706,23.7632,210.408,106.916, , , ,8,12.9633,17.8165,24.3213,212.608,103.109, , , ,8,11.7664,19.6196,26.2265,210.44,102.291, , , ,8,13.9879,21.0929,26.5674,210.44,103.382, , , ,8,13.3959,20.8573,23.8945,210.44,103.382, , , ,8,13.351,21.7837,24.5802,210.44,103.382, , , ,8,13.6941,21.7837,26.0639,210.44,103.382, , , ,8,13.6941,21.7837,26.1398,210.44,103.382, , , ,
