comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,0,0,0,14.6412,17.389, , , ,2,0,0,0,14.3725,18.8551, , , ,2,0,0,0,14.6315,17.0842, , , ,2,0,0,0,3.95555,8.13451, , , ,2,0,0,0,0,8.03783, , , ,2,0,0,0,0,8.03783, , , ,2,0,0,0,0,5.94794, , , ,2,0,0,0,0,0, , , ,2,0,0,0,0,0, , , ,2,0,0,0,0,0, , , ,2,0,0,0,0,0, , , ,2,0,0,0,0,0, , , ,
4,0,0,0,8.09063,20.1235, , , ,4,0,0,0,6.68566,16.0753, , , ,4,0,0,0,0.441726,4.57688, , , ,4,0,0,0,1.33884,0.131689, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,
6,0,0,0,4.7887,15.3578, , , ,6,0,0,0,5.17408,2.10582, , , ,6,0,0,0,1.33884,3.09653, , , ,6,0,0,0,0,1.85462, , , ,6,0,0,0,1.53637,0, , , ,6,0,0,0,1.53637,0, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,
8,0,0,0,7.16723,13.8035, , , ,8,0,0,0,2.08938,6.1044, , , ,8,0,0,0,0,2.73435, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,
