comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,469.925,460.7,646.957,569.07,346.247, , , ,2,409.259,392.907,246.895,404.775,188.52, , , ,2,308.695,291.626,125.959,404.064,224.679, , , ,2,134.399,159.486,40.6517,116.72,185.49, , , ,2,155.173,141.412,70.696,40.0441,242.519, , , ,2,95.9876,107.121,68.129,55.1121,170.202, , , ,2,88.687,100.051,51.328,55.207,174.647, , , ,2,33.4432,46.1301,53.6119,55.207,168.871, , , ,2,36.3572,43.3501,55.4811,55.207,170.04, , , ,2,36.4832,42.815,52.7016,55.207,171.478, , , ,2,36.4832,41.8226,53.6491,55.207,171.478, , , ,2,36.7286,41.8226,53.4308,55.207,171.478, , , ,
4,597.618,616.558,711.708,480.184,399.175, , , ,4,319.229,299.682,389.911,351.509,307.341, , , ,4,181.343,178.944,300.277,110.478,121.857, , , ,4,106.895,137.197,85.0287,89.4719,178.149, , , ,4,90.5326,78.7816,81.7266,69.8881,155.204, , , ,4,93.1944,61.3044,75.8785,67.3653,143.755, , , ,4,81.127,61.6332,92.7196,67.3653,137.547, , , ,4,92.6733,55.4743,84.0264,67.3653,137.338, , , ,4,84.8041,55.4743,85.5905,67.3653,137.338, , , ,4,84.8041,56.4986,84.6589,67.3653,137.338, , , ,4,82.2685,58.3788,84.6022,67.3653,137.338, , , ,4,82.2505,58.3788,79.9908,67.3653,137.338, , , ,
6,481.191,367.957,516.482,460.234,459.661, , , ,6,277.819,485.854,157.613,202.862,314.298, , , ,6,134.143,313.817,109.473,91.722,318.031, , , ,6,167.659,112.463,120.158,62.9019,391.504, , , ,6,140.901,110.655,125.085,87.6192,311.972, , , ,6,103.66,89.0516,116.975,81.4023,292.476, , , ,6,107.42,73.4822,115.985,70.9207,289.122, , , ,6,104.482,85.2294,138.757,70.9207,289.122, , , ,6,108.02,76.6795,136.94,70.9207,289.122, , , ,6,108.222,76.6119,135.12,70.9207,289.122, , , ,6,108.113,75.2711,134.532,70.9207,289.122, , , ,6,108.113,75.2711,136.053,70.9207,289.122, , , ,
8,469.195,406.568,511.675,391.104,360.907, , , ,8,275.017,200.849,225.56,133.58,258.303, , , ,8,215.146,168.206,170.944,76.9327,585.645, , , ,8,159.902,119.538,162.257,89.661,341.357, , , ,8,141.588,106.003,210.735,84.5765,352.043, , , ,8,105.92,111.748,200.52,85.9487,348.037, , , ,8,105.562,120.227,219.873,86.6209,375.148, , , ,8,108.073,73.4412,231.177,86.6209,368.059, , , ,8,111.924,60.6675,239.022,86.6209,368.059, , , ,8,113.085,62.8378,244.625,86.6209,368.059, , , ,8,113.127,62.8378,219.974,86.6209,368.059, , , ,8,113.127,62.8378,222.767,86.6209,368.059, , , ,
