comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,669.68,657.885,918.321,2214.76,1397.98, , , ,2,587.159,550.475,356.461,1915.41,1307.24, , , ,2,440.412,413.44,192.221,2104.35,1134.16, , , ,2,191.792,227.64,75.7134,1575.55,979.912, , , ,2,227.434,200.78,102.092,1473,457.909, , , ,2,133.16,149.363,96.9453,1286.54,351.621, , , ,2,133.861,148.994,83.0792,1284.04,346.167, , , ,2,48.4599,64.361,91.6429,1281.02,245.319, , , ,2,54.344,59.7415,92.001,1282.81,245.084, , , ,2,55.7038,58.8669,90.6664,1280.54,247.027, , , ,2,51.8925,55.7821,92.4498,1281.52,245.796, , , ,2,53.2701,57.8305,92.4392,1280.25,245.597, , , ,
4,741.333,740.82,1274.62,1725.95,1367.85, , , ,4,281.584,213.005,604.484,1517.31,1094.87, , , ,4,131.833,143.29,475.765,1142.95,702.567, , , ,4,75.3193,101.388,83.1573,929.757,327.82, , , ,4,63.3748,69.1467,84.6467,1030.69,215.271, , , ,4,69.3363,48.0451,70.6638,1056.53,222.443, , , ,4,53.8619,44.5573,76.8612,1060.49,152.228, , , ,4,62.4841,41.7074,63.7736,1060.57,151.62, , , ,4,64.6564,42.2472,64.626,1056.47,150.887, , , ,4,62.4786,41.3084,65.0622,1060.41,152.343, , , ,4,63.388,42.4923,62.4269,1059.53,152.622, , , ,4,61.85,43.954,64.8635,1057.99,153.007, , , ,
6,419.959,367.167,625.396,1718.49,1097.48, , , ,6,326.146,808.811,171.136,1129.21,707.284, , , ,6,70.7831,575.502,91.5568,931.164,413.806, , , ,6,140.835,62.8147,66.6541,961.018,267.117, , , ,6,71.8741,57.9671,60.2117,472.944,188.324, , , ,6,44.5594,40.1026,48.986,469.897,179.983, , , ,6,44.9124,40.6622,40.9294,473.117,178.812, , , ,6,44.0567,43.5903,46.2606,471.594,176.414, , , ,6,43.8916,41.6537,45.2266,472.552,176.54, , , ,6,43.7694,42.0667,44.1201,470.232,177.089, , , ,6,43.7503,41.7909,43.0485,473.494,177.672, , , ,6,43.9155,43.1985,40.3822,471.325,176.674, , , ,
8,609.854,356.759,743.08,873.741,648.827, , , ,8,189.876,87.2834,235.281,674.741,315.916, , , ,8,118.76,101.488,129.809,599.175,251.436, , , ,8,65.089,57.6436,77.602,530.146,218.925, , , ,8,52.0359,60.3057,77.1085,524.378,242.06, , , ,8,44.3848,51.3691,88.5128,530.007,244.284, , , ,8,36.5877,60.9024,96.3708,525.807,247.442, , , ,8,32.3985,54.8903,89.8365,528.978,250.556, , , ,8,32.9822,52.1269,84.1623,528.151,250.552, , , ,8,32.199,54.2212,90.0143,526.802,250.291, , , ,8,31.9927,53.8561,82.767,526.739,250.795, , , ,8,34.086,52.3599,85.2848,526.299,251.09, , , ,
