comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,21.2256,14.7289,23.391,1266.76,1043.53, , , ,2,19.8484,21.6829,11.2182,909.396,1187.4, , , ,2,14.7411,15.794,3.87653,874.509,663.512, , , ,2,13.4373,12.8774,13.8234,1004.22,737.027, , , ,2,11.2388,18.5111,12.4558,987.977,843.36, , , ,2,15.9006,17.2519,12.2368,971.677,0.47697, , , ,2,14.5481,16.8715,12.6739,968.432,0.47697, , , ,2,17.5111,17.6218,15.9351,968.432,0.47697, , , ,2,13.8546,17.4685,12.978,968.432,0.47697, , , ,2,14.2355,18.5097,12.7219,968.432,0.47697, , , ,2,19.4712,18.5097,12.8346,968.432,0.47697, , , ,2,19.4254,18.2664,12.8346,968.432,0.47697, , , ,
4,137.713,114.595,150.636,665.095,714.901, , , ,4,72.2532,66.9624,196.226,596.688,778.62, , , ,4,52.4348,30.5029,80.1076,614.742,548.985, , , ,4,40.714,48.0787,25.8786,335.594,540.273, , , ,4,15.8192,20.5891,27.8116,340.269,229.131, , , ,4,18.6903,27.8099,29.2183,344.935,289.311, , , ,4,14.5829,21.2111,28.3408,344.935,281.55, , , ,4,16.9773,20.3172,23.5913,344.935,281.55, , , ,4,17.3784,20.3951,23.1786,344.935,281.55, , , ,4,18.3818,16.3966,23.915,344.935,281.55, , , ,4,18.3818,16.7419,24.1174,344.935,281.55, , , ,4,18.5812,16.7419,24.9565,344.935,281.55, , , ,
6,168.164,186.336,244.342,556.041,433.383, , , ,6,108.104,125.992,62.8166,344.691,464.372, , , ,6,186.043,23.0136,62.3242,415.871,288.916, , , ,6,62.1751,16.469,60.5228,368.017,398.136, , , ,6,23.6783,19.905,22.1459,335.323,233.791, , , ,6,20.2768,14.1046,34.7863,335.323,230.59, , , ,6,22.2011,15.6731,26.0757,335.323,231.773, , , ,6,21.1033,15.2072,26.8002,335.323,231.67, , , ,6,21.3364,16.4404,27.083,335.323,231.606, , , ,6,20.6359,16.3508,27.4871,335.323,231.606, , , ,6,20.6359,16.2392,27.782,335.323,231.606, , , ,6,20.6359,16.2392,27.782,335.323,231.606, , , ,
8,345.804,259.293,236,482.719,552.612, , , ,8,51.1023,208.008,31.9454,231.904,414.846, , , ,8,244.465,35.9992,79.3987,185.266,350.336, , , ,8,17.1782,32.5314,26.8634,181.734,193.683, , , ,8,13.4037,22.3725,23.5476,190.651,208.302, , , ,8,11.803,19.7929,20.8425,190.651,195.312, , , ,8,12.6174,23.9466,20.1566,190.651,193.697, , , ,8,12.5892,22.5042,24.8159,190.651,184.22, , , ,8,12.7609,24.0842,24.2452,190.651,184.22, , , ,8,12.7609,21.8918,24.201,190.651,178.022, , , ,8,12.8782,21.5032,22.9682,190.651,178.022, , , ,8,12.8782,21.5032,23.0531,190.651,178.022, , , ,
