comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,589.984,495.637,854.734,3208.42,2565.34, , , ,2,567.979,537.629,394.978,2341.54,2641.61, , , ,2,553.237,531.351,226.005,1447.04,1568.32, , , ,2,385.863,327.681,153.145,1585.98,1415.75, , , ,2,260.256,329.79,127.593,1562.54,1567.66, , , ,2,273.046,246.07,124.059,1536.32,964.959, , , ,2,246.773,221.427,118.965,1521.09,936.839, , , ,2,98.4775,75.8108,124.976,1516.11,985.025, , , ,2,84.7648,57.1422,118.716,1518.26,988.951, , , ,2,97.98,55.4114,117.109,1520.74,985.206, , , ,2,95.4828,53.573,118.487,1518.12,985.622, , , ,2,96.612,56.4239,121.382,1519.92,988.987, , , ,
4,892.139,833.232,1142.68,2056.18,2371.57, , , ,4,849.429,968.188,876.509,1799.09,1916.26, , , ,4,600.265,745.923,663.358,1632.29,1181.32, , , ,4,452.638,389.143,425.625,1074.61,984.842, , , ,4,71.0892,119.911,99.9177,692.635,559.649, , , ,4,67.3476,97.8559,116.956,718.848,747.035, , , ,4,73.7235,73.3903,112.235,721.38,578.015, , , ,4,71.9702,73.7736,100.312,722.894,580.772, , , ,4,76.1433,69.6891,99.0295,722.044,578.232, , , ,4,77.1861,68.5577,99.8924,725.595,582.73, , , ,4,79.2702,68.9522,100.91,724.233,579.638, , , ,4,76.7267,67.4267,107.45,724.984,577.914, , , ,
6,715.084,838.183,903.728,1511,1445.11, , , ,6,437.817,463.342,346.815,885.678,1407.08, , , ,6,595.486,240.325,289.296,1086.19,712.625, , , ,6,238.127,163.618,254.411,999.69,879.881, , , ,6,92.3565,92.6545,88.2562,882.26,607.528, , , ,6,89.8305,63.899,90.8695,885.526,606.545, , , ,6,94.369,61.1432,80.6619,886.031,715.893, , , ,6,84.8375,60.9315,87.4114,887.089,714.258, , , ,6,86.2708,62.136,76.6441,884.149,716.897, , , ,6,81.1317,64.257,75.4768,886.113,715.713, , , ,6,83.1601,64.064,77.0911,885.214,716.545, , , ,6,83.5394,64.5612,76.2543,885.831,718.274, , , ,
8,1013.41,919.763,773.25,1536.81,1711.51, , , ,8,291.883,666.732,219.018,706.894,1196.8, , , ,8,762.79,175.285,284.211,425.879,975.704, , , ,8,100.534,151.545,97.6974,429.393,575.98, , , ,8,51.8728,78.9183,96.5364,460.506,600.87, , , ,8,49.6666,76.3629,81.9189,459.311,560.737, , , ,8,47.1902,76.3568,81.2792,460.888,560.247, , , ,8,51.0124,77.2548,84.8791,460.992,532.325, , , ,8,50.9673,74.4571,89.0662,462.995,533.312, , , ,8,52.1071,67.1036,87.6273,460.979,512.419, , , ,8,51.2352,70.0107,84.0234,460.752,513.591, , , ,8,52.7273,69.6058,86.0611,461.021,512.841, , , ,
