comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,0,0,0,25.2969,16.9883, , , ,2,0,0,0,22.0305,10.0234, , , ,2,0,0,0,4.18836,2.58581, , , ,2,0,0,0,0.871296,1.65145, , , ,2,0,0,0,0.870211,1.22223, , , ,2,0,0,0,0.871296,0, , , ,2,0,0,0,0,0, , , ,2,0,0,0,0,0, , , ,2,0,0,0,0,0, , , ,2,0,0,0,0,0, , , ,2,0,0,0,0,0, , , ,2,0,0,0,0,0, , , ,
4,0,0,0,13.0973,16.2054, , , ,4,0,0,0,10.0447,5.6368, , , ,4,0,0,0,1.78719,2.64704, , , ,4,0,0,0,1.67433,0.491409, , , ,4,0,0,0,1.67433,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,
6,0,0,0.0242027,6.61714,13.3691, , , ,6,0,0,0.0242027,6.14292,5.73508, , , ,6,0,0,0.0242027,3.66738,1.59826, , , ,6,0,0,0.0242027,1.34735,0.0484053, , , ,6,0,0,0.0242027,0,0, , , ,6,0,0,0.0242027,0,0, , , ,6,0,0,0.0242027,0,0, , , ,6,0,0,0.0242027,0,0, , , ,6,0,0,0.0242027,0,0, , , ,6,0,0,0.0242027,0,0, , , ,6,0,0,0.0242027,0,0, , , ,6,0,0,0.0242027,0,0, , , ,
8,0,0,0,8.87704,10.0588, , , ,8,0,0,0,4.09297,1.9096, , , ,8,0,0,0,0.72608,1.18327, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,
