comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,381.622,325.349,574.613,732.497,534.957, , , ,2,376.646,351.063,265.338,481.887,869.289, , , ,2,365.512,348.404,154.09,163.286,722.397, , , ,2,252.052,210.156,104.044,36.4314,516.061, , , ,2,172.329,218.194,87.8137,36.8957,549.553, , , ,2,175.04,163.507,85.4506,37.5245,580.833, , , ,2,166.425,147.886,83.904,6.76665,570.525, , , ,2,68.2762,43.1234,81.968,6.76665,596.409, , , ,2,58.9529,28.9991,81.083,6.76665,596.409, , , ,2,64.5515,31.4841,81.1605,6.76665,596.409, , , ,2,57.2755,31.4841,80.885,6.76665,596.409, , , ,2,57.3694,31.5649,80.885,6.76665,596.409, , , ,
4,447.597,546.393,828.021,445.861,585.516, , , ,4,387.686,378.463,332.921,331.741,855.44, , , ,4,282.213,277.937,237.101,90.5198,937.398, , , ,4,193.244,210.692,132.144,67.2311,963.323, , , ,4,87.7184,160.609,122.073,68.3158,633.726, , , ,4,73.5886,102.259,135.276,24.504,824.399, , , ,4,93.5962,88.8118,126.236,24.504,643.269, , , ,4,89.0845,89.7852,124.046,24.504,643.269, , , ,4,89.8255,89.9152,124.093,24.504,643.269, , , ,4,93.9633,89.8099,124.665,24.504,643.269, , , ,4,93.9633,80.1906,125.085,24.504,643.269, , , ,4,94.9737,80.1906,142.054,24.504,643.269, , , ,
6,600.02,660.086,635.295,196.086,531.112, , , ,6,377.34,341.402,330.376,223.988,1306.43, , , ,6,267.051,209.193,294.726,111.583,1035.98, , , ,6,228.823,127.565,268.072,63.0443,1089.45, , , ,6,146.929,165.24,142.308,25.3839,722.638, , , ,6,142.391,140.805,151.952,25.3839,752.575, , , ,6,143.973,122.97,151.802,25.3839,1058.75, , , ,6,127.826,120.804,148.25,25.3839,1058.87, , , ,6,117.482,121.047,126.441,25.3839,1058.9, , , ,6,117.523,121.95,129.446,25.3839,1058.9, , , ,6,118.055,122.44,127.532,25.3839,1058.9, , , ,6,118.055,122.44,127.126,25.3839,1058.9, , , ,
8,715.881,590.061,588.599,443.156,573.329, , , ,8,374.235,465.901,254.899,118.096,1040.73, , , ,8,347.604,168.666,378.948,36.3897,770.157, , , ,8,134.172,205.676,184.855,39.7151,1140.46, , , ,8,113.724,182.276,184.785,39.9386,1220.25, , , ,8,106.648,156.444,175.303,39.9386,1165.06, , , ,8,110.195,156.821,165.869,39.9386,1166.66, , , ,8,113.932,161.33,162.482,39.9386,865.278, , , ,8,114.427,150.14,164.364,39.9386,865.278, , , ,8,114.549,146.524,167.145,39.9386,1038.6, , , ,8,116.469,144.233,164.397,39.9386,1038.6, , , ,8,116.469,144.233,167.733,39.9386,1038.6, , , ,
