comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,461.954,803.574,1184.06,2025.73,1755.36, , , ,2,336.444,283.746,875.223,1174.55,1474.99, , , ,2,296.893,183.665,801.538,1280.08,1150.78, , , ,2,192.972,224.091,763.199,1325.5,926.831, , , ,2,86.8796,164.538,696.916,1340.05,1125.63, , , ,2,90.4964,125.57,697.614,1449.41,931.581, , , ,2,106.249,104.757,694.752,1388.2,638.083, , , ,2,92.6798,96.3188,694.557,1420.3,810.373, , , ,2,90.395,74.484,694.118,1365.23,726.344, , , ,2,91.3049,72.4744,695.867,1350.61,799.563, , , ,2,92.2815,73.9641,693.762,1355.47,694.066, , , ,2,89.4882,73.6628,695.527,1352.56,429.248, , , ,
4,773.304,576.26,594.699,1377.1,819.108, , , ,4,248.257,445.381,255.815,867.213,1120.23, , , ,4,187.063,151.167,124.922,550.969,602.902, , , ,4,316.755,132.342,120.835,523.058,406.033, , , ,4,96.455,87.1422,106.4,517.365,514.596, , , ,4,89.7813,69.6758,105.63,465.485,505.145, , , ,4,101.366,72.7195,110.647,527.192,495.293, , , ,4,98.166,69.4462,123.606,520.733,492.334, , , ,4,95.8895,65.3546,126.668,475.133,485.212, , , ,4,97.9546,61.4567,131.674,475.331,493.382, , , ,4,98.2774,62.6862,128.935,475.198,492.775, , , ,4,96.9228,61.9362,128.651,475.059,493.16, , , ,
6,839.28,627.068,485.726,967.999,1089.02, , , ,6,548.584,287.902,274.686,844.397,817.995, , , ,6,118.368,207.351,146.547,917.677,951.137, , , ,6,76.1164,111.461,97.4496,522.698,427.181, , , ,6,88.4896,86.7955,94.6042,802.48,362.651, , , ,6,103.88,77.1867,86.7319,615.574,342.465, , , ,6,82.736,54.4458,84.8792,621.327,320.066, , , ,6,80.8818,55.1256,85.5287,622.813,305.534, , , ,6,78.9724,56.8009,83.1023,621.305,291.333, , , ,6,77.1892,51.5865,84.402,620.787,269.001, , , ,6,79.539,51.5981,83.7029,619.457,266.104, , , ,6,78.2997,52.0612,83.9498,620.969,270.031, , , ,
8,1104.94,504.319,652.304,834.172,852.233, , , ,8,655.032,221.168,100.363,543.014,490.911, , , ,8,152.196,95.3529,93.8359,498.961,323.314, , , ,8,101.5,84.3347,75.9625,816.672,381.981, , , ,8,86.7811,82.4108,92.4223,740.923,346.41, , , ,8,83.9865,69.7439,89.2563,741.011,365.111, , , ,8,81.4685,64.4918,84.5296,738.107,362.324, , , ,8,82.6433,62.8224,83.1491,740.684,361.93, , , ,8,79.3626,66.1815,81.3979,742.281,347.21, , , ,8,78.205,66.032,86.9317,740.771,349.279, , , ,8,78.5167,65.1669,81.8044,740.942,347.949, , , ,8,78.502,64.1361,82.4134,739.113,346.564, , , ,
