comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,0,0,19.6437,15.0587,24.2547, , , ,2,0,0,19.6437,3.91761,21.2728, , , ,2,0,0,19.6437,2.79052,17.3683, , , ,2,0,0,19.6437,2.14777,4.22988, , , ,2,0,0,19.6437,4.52923,2.06881, , , ,2,0,0,19.6437,2.70477,1.98259, , , ,2,0,0,19.6437,0.541161,0, , , ,2,0,0,19.6437,0.474981,2.32424, , , ,2,0,0,19.6437,0.386036,0, , , ,2,0,0,19.6437,0,2.62505, , , ,2,0,0,19.6437,0,2.62505, , , ,2,0,0,19.6437,0,0, , , ,
4,0,0,0,9.66959,13.0453, , , ,4,0,0,0,5.87523,11.5785, , , ,4,0,0,0,4.95769,7.8315, , , ,4,0,0,0,3.55314,4.77162, , , ,4,0,0,0,2.53761,0, , , ,4,0,0,0,1.74268,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,4,0,0,0,0,0, , , ,
6,0,0,0,7.78911,10.2539, , , ,6,0,0,0,5.13165,5.37366, , , ,6,0,0,0,3.10336,3.48359, , , ,6,0,0,0,2.43368,0.55668, , , ,6,0,0,0,1.85297,0, , , ,6,0,0,0,0,0.055148, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,6,0,0,0,0,0, , , ,
8,0,0,0,6.62468,8.64114, , , ,8,0,0,0,4.15769,7.23876, , , ,8,0,0,0,4.37757,0.872924, , , ,8,0,0,0,0.608188,1.25568, , , ,8,0,0,0,0.783102,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,8,0,0,0,0,0, , , ,
