comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,309.264,531.275,581.183,713.331,392.8, , , ,2,227.107,199.818,326.517,247.303,380.696, , , ,2,204.619,125.555,262.619,171.947,349.706, , , ,2,139.269,155.042,224.761,149.624,406.13, , , ,2,74.1744,117.399,138.298,116.67,416.929, , , ,2,79.3977,92.2016,139.634,104.206,449.589, , , ,2,92.3902,79.6728,139.069,78.9794,409.557, , , ,2,83.1319,71.9272,139.069,48.6902,426.932, , , ,2,80.5688,57.8103,139.069,45.1936,399.746, , , ,2,81.1853,55.3918,139.069,36.6031,435.97, , , ,2,81.1853,55.3918,139.069,22.9876,340.123, , , ,2,81.1853,55.3918,139.069,44.8825,296.024, , , ,
4,528.288,349.728,604.891,451.668,418.191, , , ,4,248.396,338.9,335.93,315.026,512.607, , , ,4,183.254,200.368,144.789,170.665,571.82, , , ,4,230.949,165.222,154.616,135.339,569.048, , , ,4,136.61,120.154,153.085,120.372,541.941, , , ,4,131.282,85.7631,142.676,95.9661,563.331, , , ,4,141.056,88.076,152.013,81.0779,529.777, , , ,4,137.915,77.3076,153.679,74.4645,675.366, , , ,4,136.842,74.0733,160.392,84.1786,673.217, , , ,4,136.935,68.5358,160.35,84.1786,686.075, , , ,4,137.047,68.9905,160.35,84.1786,686.075, , , ,4,136.79,69.2658,160.242,84.1786,686.075, , , ,
6,738.131,420.792,563.694,562.718,455.947, , , ,6,407.728,328.31,284.413,182.803,446.136, , , ,6,221.75,201.335,181.394,73.5633,716.069, , , ,6,176.266,192.341,167.76,79.4971,592.564, , , ,6,194.614,185.841,174.208,97.5363,539.703, , , ,6,211.591,140.553,172.552,84.8549,578.022, , , ,6,160.161,110.404,165.536,83.3003,618.679, , , ,6,160.642,113.15,171.714,83.3003,587.042, , , ,6,160.133,116.935,169.914,83.3003,578.37, , , ,6,146.042,109.381,168.453,83.3003,515.031, , , ,6,146.042,113.91,168.554,83.3003,515.031, , , ,6,146.042,113.91,168.554,83.3003,515.031, , , ,
8,738.546,670.397,485.588,489.222,368.485, , , ,8,356.676,411.062,236.883,108.864,801.258, , , ,8,269.979,205.848,202.241,141.333,561.255, , , ,8,249.71,163.416,207.046,84.2947,680.553, , , ,8,218.974,156.216,201.203,97.4972,466.409, , , ,8,223.456,157.737,199.92,80.6045,856.099, , , ,8,201.243,151.026,198.221,80.6045,827.886, , , ,8,201.431,145.908,205.576,80.6045,828.109, , , ,8,195.266,146.706,202.736,80.6045,805.569, , , ,8,195.591,146.46,209.831,80.6045,805.569, , , ,8,195.479,146.46,195.918,80.6045,805.569, , , ,8,195.479,146.46,200.467,80.6045,805.569, , , ,
