comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,13.0479,17.7631,42.0684,811.297,552.298, , , ,2,4.68482,9.1022,37.8767,795.821,570.046, , , ,2,11.2662,7.51931,39.0428,871.761,382.277, , , ,2,6.30793,13.8109,38.0691,945.592,637.749, , , ,2,13.2811,8.06598,37.9709,899.208,744.603, , , ,2,11.4612,4.01248,39.3019,962.999,646.067, , , ,2,11.5148,4.59211,39.2113,957.953,239.66, , , ,2,11.6,4.44157,39.2113,971.856,414.854, , , ,2,11.6373,6.08502,39.2113,936.75,395.284, , , ,2,10.0174,8.08007,39.2113,927.501,393.322, , , ,2,10.0174,8.08007,39.2113,929.37,392.668, , , ,2,10.0174,8.08007,39.2113,912.92,0.47697, , , ,
4,223.857,192.304,119.153,548.882,281.201, , , ,4,65.5674,116.696,38.2902,397.616,439.457, , , ,4,42.1105,14.3857,29.358,291.555,320.686, , , ,4,84.1254,25.1841,28.9504,343.464,281.465, , , ,4,13.4503,19.0049,21.9285,350.594,235.123, , , ,4,14.2978,17.1438,24.687,320.905,245.373, , , ,4,14.3592,19.6583,27.7361,332.431,168.231, , , ,4,17.6365,20.3058,33.021,328.182,155.338, , , ,4,16.014,20.2837,32.9765,296.747,158.794, , , ,4,16.014,22.2878,32.5524,296.747,158.794, , , ,4,15.9852,22.3786,32.5524,296.747,158.794, , , ,4,15.9981,22.2878,32.5918,296.747,158.794, , , ,
6,237.444,206.202,137.182,360.345,434.305, , , ,6,170.114,75.358,79.444,354.32,315.483, , , ,6,28.2487,60.6379,72.3438,381.464,410.73, , , ,6,16.7698,26.3201,63.2531,250.598,292.107, , , ,6,18.8788,20.1019,59.7502,339.643,253.832, , , ,6,20.0312,22.6854,59.4554,291.346,167.405, , , ,6,24.6911,15.3261,61.3738,292.099,172.18, , , ,6,26.1482,15.4357,60.6675,292.099,173.287, , , ,6,26.0716,15.6058,61.1224,292.099,170.594, , , ,6,24.4987,16.1074,61.0679,292.099,169.021, , , ,6,24.6858,16.178,61.2448,292.099,169.021, , , ,6,24.6858,16.178,61.2448,292.099,169.021, , , ,
8,342.738,142.64,241.949,301.64,300.152, , , ,8,212.848,56.6744,32.0301,212.367,206.509, , , ,8,39.4042,23.9758,37.3731,218.849,177.16, , , ,8,19.8567,25.7525,33.7151,326.802,188.687, , , ,8,18.2113,23.5359,39.3356,289.842,184.307, , , ,8,17.0777,17.1869,36.6269,289.093,189.059, , , ,8,20.3295,14.8209,34.9658,289.093,191.173, , , ,8,20.9926,14.7442,33.2001,289.093,191.259, , , ,8,21.2952,15.4948,34.3895,289.093,190.203, , , ,8,21.2582,14.7081,34.5512,289.093,190.203, , , ,8,21.3257,14.7916,34.9242,289.093,190.203, , , ,8,21.3257,14.7916,34.2665,289.093,190.203, , , ,
