comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,100,100,100,92.3464,88.434, , , ,2,100,100,100,93.288,86.7699, , , ,2,100,100,100,94.4235,91.9285, , , ,2,100,100,100,98.3635,96.5433, , , ,2,100,100,100,100,97.3212, , , ,2,100,100,100,100,97.3212, , , ,2,100,100,100,100,98.6354, , , ,2,100,100,100,100,100, , , ,2,100,100,100,100,100, , , ,2,100,100,100,100,100, , , ,2,100,100,100,100,100, , , ,2,100,100,100,100,100, , , ,
4,100,100,100,97.4748,79.7457, , , ,4,100,100,100,97.4698,91.0725, , , ,4,100,100,100,99.859,97.4547, , , ,4,100,100,100,99.6928,99.9698, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,
6,100,100,100,98.0312,85.8157, , , ,6,100,100,100,97.3716,98.1395, , , ,6,100,100,100,99.6928,98.6959, , , ,6,100,100,100,100,99.5745, , , ,6,100,100,100,99.6475,100, , , ,6,100,100,100,99.6475,100, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,
8,100,100,100,93.7739,85.4507, , , ,8,100,100,100,99.0634,95.501, , , ,8,100,100,100,100,98.4642, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,
