comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,4.9,8.05,16.1,1496.85,473.85, , , ,2,9.7,4.4,14.45,1382.45,409.95, , , ,2,3.45,3.95,14.25,1093.2,256.6, , , ,2,3.15,2.75,21,1073.7,374.2, , , ,2,7.05,2.2,11.45,1063.25,53.7, , , ,2,6.35,5.25,8.2,903.2,26.85, , , ,2,5.5,3.65,9.2,907.3,0.65, , , ,2,7.15,3.5,10.2,907.3,0.65, , , ,2,6.25,3.25,9.15,907.3,0.65, , , ,2,6.15,3.25,9.3,907.3,0.65, , , ,2,6.15,3.25,9.15,907.3,0.65, , , ,2,6.05,3.25,9.25,907.3,0.65, , , ,
4,129.9,110.65,316.9,1582.2,614.1, , , ,4,28.7,17,124.3,1331.1,627.9, , , ,4,17.25,19.3,77.15,1239.55,387, , , ,4,9.55,9.1,40.6,982.25,285.1, , , ,4,17.05,15.35,27.4,1012.35,135.05, , , ,4,16.8,10.6,35.3,1034.2,112.95, , , ,4,14.75,14.25,23.65,1034.2,70.05, , , ,4,14.3,13.55,21.35,1034.2,69.85, , , ,4,17.45,13.55,19.95,1034.2,69.85, , , ,4,17.45,13.3,20.5,1034.2,69.85, , , ,4,17.4,13.3,19.3,1034.2,69.85, , , ,4,17.45,13.3,20.2,1034.2,69.85, , , ,
6,115.7,137.7,319.6,1531.15,581.7, , , ,6,53.8,136.55,79.05,949.95,489.1, , , ,6,23.1,70.25,74.8,879.05,227.45, , , ,6,29,26.25,48.45,906.8,108.15, , , ,6,27.7,23.3,33.6,786.95,48.2, , , ,6,19,22.2,35.7,810.85,56.35, , , ,6,20.9,25.35,38.45,793.15,67.7, , , ,6,20.55,24.4,36.5,793.15,67.7, , , ,6,20.6,24.2,35.5,793.15,67.7, , , ,6,20.55,24.5,35.35,793.15,67.7, , , ,6,20.25,24.05,34.35,793.15,67.7, , , ,6,20.25,24.05,34.95,793.15,67.7, , , ,
8,161.7,141.1,224.15,1078.9,551.6, , , ,8,63.8,38.05,127.25,778.3,273.6, , , ,8,36.8,37.05,90.05,690.75,198.95, , , ,8,22.35,30.4,59.55,683.7,143.15, , , ,8,21.85,30.65,48.1,684.8,125.85, , , ,8,21.95,25.65,55.65,687.65,103.1, , , ,8,22.05,27.35,49.15,684.85,105.95, , , ,8,23.8,29.3,49.65,684.85,109.95, , , ,8,23.5,28.85,45.95,684.85,109.95, , , ,8,23.5,29.35,49.25,684.85,109.95, , , ,8,23.65,29.35,48.15,684.85,109.95, , , ,8,23.65,29.35,48.75,684.85,109.95, , , ,
