comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,1122.4,1162.45,1074.4,2009.25,596.85, , , ,2,706.7,689.8,521.45,1858.05,403, , , ,2,582.75,563.05,387.05,1875.95,439.1, , , ,2,384.45,393.55,325.2,1927.9,463.65, , , ,2,330.05,336.8,332.15,1994.35,474.1, , , ,2,257.15,275.15,317.8,2005.6,383.05, , , ,2,236.9,251.55,308.8,2005.3,404.95, , , ,2,205.05,219.9,314.4,2005.3,384.45, , , ,2,198.95,211.85,312.45,2005.3,376.75, , , ,2,199.15,211.15,315.8,2005.3,366.85, , , ,2,199.15,210.85,313.15,2005.3,366.85, , , ,2,199.25,210.85,313.45,2005.3,366.85, , , ,
4,1863.3,1766.5,1617.25,2392.35,718.75, , , ,4,886.75,862,781.7,2070.5,695.1, , , ,4,626.8,599.35,612.35,2003.95,600.25, , , ,4,445.2,472.35,510.75,1994.85,650.3, , , ,4,407.45,393.4,479.4,2032.45,574.3, , , ,4,375.9,354.65,500.55,2042.75,640.45, , , ,4,398.75,334.45,490.15,2042.75,610, , , ,4,382.05,332,477.65,2042.75,609.6, , , ,4,373.4,332,473.6,2042.75,609.6, , , ,4,373.4,333.25,472.15,2042.75,609.6, , , ,4,370,334.75,473.85,2042.75,609.6, , , ,4,369.95,334.75,472.65,2042.75,609.6, , , ,
6,2124.85,2352.75,1800.15,2391.2,881.15, , , ,6,1057.15,1237.9,940.65,1987.05,859.35, , , ,6,716.3,772.9,746.8,2028.35,888.15, , , ,6,612.6,596.8,688.95,2063.45,966.7, , , ,6,562.1,542.15,665.55,2076.65,952.9, , , ,6,504.9,511.1,641.5,2084.4,901.35, , , ,6,511.3,499.65,671.6,2093.05,907.35, , , ,6,510.75,500.45,661.9,2093.05,907.35, , , ,6,504.75,497.55,666.5,2093.05,907.35, , , ,6,504.15,494.75,654.4,2093.05,907.35, , , ,6,504.45,493.4,652.6,2093.05,907.35, , , ,6,504.45,493.4,649.5,2093.05,907.35, , , ,
8,2351.05,2348.55,2003.15,2233.2,938.25, , , ,8,1254.95,1196.6,1186.3,2047.15,842.45, , , ,8,937.05,852.45,924.15,2055.6,1170.65, , , ,8,772.8,750.55,902.6,2097,1260.1, , , ,8,718.45,697.85,901.8,2108.25,1192.45, , , ,8,683.1,680,878.4,2103.75,1212.7, , , ,8,686.95,672.45,854.4,2111.75,1232.35, , , ,8,690.9,647.7,860.85,2111.75,1227.7, , , ,8,686.85,633.95,860.6,2111.75,1227.7, , , ,8,688.8,638.9,869.95,2111.75,1227.7, , , ,8,688.6,638.9,841.05,2111.75,1227.7, , , ,8,688.6,638.9,847.55,2111.75,1227.7, , , ,
