comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,4410.72,4464.02,4414.4,7562.01,4151, , , ,2,3824.26,3791.13,3622.27,7225.75,3731.32, , , ,2,3640.81,3607.31,3429.6,6872.61,3723.38, , , ,2,3366.04,3364.07,3344.33,7026.43,4060.56, , , ,2,3290.98,3285.31,3344.35,7138.02,3641.36, , , ,2,3187.14,3196.04,3321.85,6921.33,3463.11, , , ,2,3158.92,3165.43,3310.71,6928.16,3489.43, , , ,2,3107.68,3114.39,3320.18,6924.51,3503.26, , , ,2,3100.73,3101.55,3319.34,6928.04,3490.38, , , ,2,3101.8,3100.88,3323.11,6928.03,3480.73, , , ,2,3098.54,3098.91,3318.88,6927.98,3475.89, , , ,2,3099.61,3098.51,3319.06,6925.63,3478.84, , , ,
4,2992.02,2883.69,3198.14,5712.76,2749.97, , , ,4,2084.79,2054.11,2185.97,4996.73,2803.71, , , ,4,1876.67,1864.62,1990.19,4822.81,2400.73, , , ,4,1732.73,1750.18,1856.12,4253.51,2256.16, , , ,4,1713.27,1705.77,1809.49,4347.65,2030.15, , , ,4,1689.33,1673.02,1828.87,4410.63,2060.99, , , ,4,1700.17,1659.74,1805.49,4413.67,2006.27, , , ,4,1689.92,1659.13,1797.28,4413.08,2006.74, , , ,4,1688.12,1661.67,1791.14,4410.77,2007.3, , , ,4,1686.9,1660.71,1791.61,4417.73,2008.13, , , ,4,1687.56,1662.15,1790.55,4413.77,2007.62, , , ,4,1688.29,1661.67,1794.23,4414.55,2008.66, , , ,
6,2192.55,2325.28,2394.21,5120.21,2339.04, , , ,6,1532.35,1831.02,1507.5,3446.45,2179.26, , , ,6,1307.05,1452.58,1406.43,3279.68,1742.1, , , ,6,1270.13,1267.54,1349.6,3371.98,1607.89, , , ,6,1242.95,1227.45,1317.8,3076.88,1536.85, , , ,6,1205.52,1218.21,1304.62,3130.55,1516.45, , , ,6,1208.89,1215.76,1324.44,3100.1,1520.61, , , ,6,1209.27,1210.98,1325.78,3099.83,1522.48, , , ,6,1207.27,1210.19,1323.66,3099.14,1520.95, , , ,6,1209.43,1208.95,1323.68,3100.11,1521.39, , , ,6,1207.58,1207.78,1321.15,3101.5,1523.34, , , ,6,1209.13,1209.06,1320.25,3101.5,1521.71, , , ,
8,1867.25,1848.79,1859.03,3532.19,1964.55, , , ,8,1261.2,1184.53,1351.5,2770.46,1372.24, , , ,8,1087.93,1066.26,1187.08,2531.61,1368.92, , , ,8,1007.87,1012.71,1121.35,2552.81,1397.95, , , ,8,984.132,991.366,1109.96,2587.23,1377.22, , , ,8,971.555,984.723,1122.02,2597.02,1375.89, , , ,8,972.059,985.609,1107.05,2589.92,1386.63, , , ,8,977.673,984.918,1105.68,2592.2,1389.55, , , ,8,975.966,981.467,1098.12,2595.02,1389.41, , , ,8,977.424,983.455,1105.41,2596,1390.2, , , ,8,977.668,981.951,1089.15,2596.57,1390.12, , , ,8,976.478,983.734,1093.77,2593.98,1390.53, , , ,
