comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,100,100,95.4934,87.2065,74.9772, , , ,2,100,100,95.4934,97.6645,84.3801, , , ,2,100,100,95.4934,98.0896,88.373, , , ,2,100,100,95.4934,98.7627,98.1098, , , ,2,100,100,95.4934,98.4742,99.2687, , , ,2,100,100,95.4934,99.1549,99.5192, , , ,2,100,100,95.4934,99.7748,100, , , ,2,100,100,95.4934,99.8431,99.4307, , , ,2,100,100,95.4934,99.9114,100, , , ,2,100,100,95.4934,100,99.3978, , , ,2,100,100,95.4934,100,99.3978, , , ,2,100,100,95.4934,100,100, , , ,
4,100,100,100,85.5997,77.8922, , , ,4,100,100,100,95.5162,91.0602, , , ,4,100,100,100,96.0349,96.5207, , , ,4,100,100,100,97.6974,98.8816, , , ,4,100,100,100,99.0157,100, , , ,4,100,100,100,99.6002,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,4,100,100,100,100,100, , , ,
6,100,100,100,91.7713,86.3234, , , ,6,100,100,100,96.4853,95.1948, , , ,6,100,100,100,98.1073,97.9504, , , ,6,100,100,100,98.9727,99.8482, , , ,6,100,100,100,99.5749,100, , , ,6,100,100,100,100,99.9873, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,6,100,100,100,100,100, , , ,
8,100,100,100,88.1478,87.2141, , , ,8,100,100,100,96.1387,93.4691, , , ,8,100,100,100,96.9762,99.6888, , , ,8,100,100,100,99.8052,99.6989, , , ,8,100,100,100,99.8203,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,8,100,100,100,100,100, , , ,
