comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,969.25,1210.65,1145.85,2027.45,541.35, , , ,2,688.15,615,803,2084.1,601.9, , , ,2,627.75,559.9,674.55,1967.65,756.85, , , ,2,502.5,501.9,629.55,1964.55,911.2, , , ,2,440.55,443.7,556.05,1962.4,958.95, , , ,2,420.9,430.6,553.95,1965.45,1016.65, , , ,2,419.5,409.45,543.7,1969.95,1082.35, , , ,2,414.3,405.35,543.7,1981.4,1036.55, , , ,2,413.15,397.85,543.7,1983.8,1087.6, , , ,2,411.95,393.95,543.7,1986.25,1091.45, , , ,2,411.95,393.95,543.7,1981.85,1021.8, , , ,2,411.95,393.95,543.7,1987.4,1100.45, , , ,
4,1955.35,1926.95,1900.7,2034,722.45, , , ,4,1006.25,1144.6,1155.95,2055.65,894.05, , , ,4,833.75,793.05,909.45,1941.3,1224.75, , , ,4,732.7,675.85,879.6,1918.9,1367.9, , , ,4,623.95,603.1,822.75,1953.7,1693.55, , , ,4,608.45,575.3,803.5,1990.1,1928.7, , , ,4,600.05,553.9,801.2,2003.85,1895.7, , , ,4,592.7,550.2,802.8,2010.8,1966.95, , , ,4,586.35,545.8,801.15,2022.6,1971.1, , , ,4,586.15,539.8,799.8,2022.6,2014.3, , , ,4,586.3,540.25,799.8,2022.6,2014.3, , , ,4,585.95,540.5,799.6,2022.6,2014.3, , , ,
6,2636.25,2394.3,2333.5,2330.15,992.3, , , ,6,1350.6,1370.95,1386.85,1982.15,1388.45, , , ,6,959.55,973.5,1114.2,1947.2,1570.65, , , ,6,865.55,829,1019.2,1953.9,2332.2, , , ,6,799.05,789.5,1030.8,1999.35,2355.75, , , ,6,786.4,752.95,1033.6,2020.8,2407.35, , , ,6,768.55,744.2,997.95,2027.4,2507.85, , , ,6,747.75,736.85,1007.75,2027.4,2447.75, , , ,6,747.2,740.7,1001.05,2027.4,2466.9, , , ,6,740.15,737.85,1000.45,2027.4,2436.4, , , ,6,740.15,739.9,1000.2,2027.4,2436.4, , , ,6,740.15,739.9,1000.2,2027.4,2436.4, , , ,
8,2854.5,2827,2404.7,2291.15,1141.45, , , ,8,1576.25,1490.9,1539.2,1953.4,1596.9, , , ,8,1163.85,1106.4,1421.25,1889,2120.55, , , ,8,1089.35,976.4,1322.85,1986.1,2463.7, , , ,8,1005.75,949.05,1339.05,2016,2748.95, , , ,8,982.1,914.8,1316.85,2025.9,2873.25, , , ,8,954.9,905.05,1312.6,2025.9,2920.05, , , ,8,951.65,905,1321.8,2025.9,2919.65, , , ,8,958.15,904.6,1331.2,2025.9,2951.5, , , ,8,957.65,904.35,1339.35,2025.9,2951.5, , , ,8,957.8,904.35,1330.9,2025.9,2951.5, , , ,8,957.8,904.35,1333.65,2025.9,2951.5, , , ,
