comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,4341.23,4707.31,4459.32,6742.22,3676.61, , , ,2,3907.84,3820.83,3952.25,7760.86,4116.24, , , ,2,3827.47,3723.9,3768.25,7264.55,4060.37, , , ,2,3648.24,3654.1,3700.36,7479.17,5032.11, , , ,2,3556.06,3557.28,3594.37,7387.33,5139.21, , , ,2,3526.81,3540.32,3592.64,7506.89,5087.28, , , ,2,3518.05,3511.44,3577.21,7605.78,4820.31, , , ,2,3516.21,3503.11,3578.71,7645.24,4855.96, , , ,2,3513.87,3494.18,3576.48,7771.25,4898.18, , , ,2,3509.77,3489.66,3579.67,7717.09,4878.25, , , ,2,3512.74,3488.23,3578.4,7712.37,4765.32, , , ,2,3509.95,3489.14,3578.97,7882.89,4768.22, , , ,
4,3307.31,3187.46,3020.87,4556.82,2605.41, , , ,4,2259.7,2403.89,2352.32,4505.43,3051.69, , , ,4,2097.49,2060.67,2164.72,4344.02,2979.66, , , ,4,2087.66,1988.12,2140.43,4108.5,2846.03, , , ,4,1926.48,1929.36,2088.62,4158.47,3032.21, , , ,4,1913.8,1906.56,2076.14,4279.57,3195.34, , , ,4,1908.93,1892.17,2081.7,4320.63,3143.24, , , ,4,1907.21,1890.97,2086.59,4326.53,3177.28, , , ,4,1901.09,1892.77,2089.72,4380.06,3186.19, , , ,4,1901.27,1889.87,2087.23,4381.11,3218.75, , , ,4,1902.16,1891.71,2086.24,4377.68,3220.99, , , ,4,1900.06,1890.33,2086.81,4379.44,3220.26, , , ,
6,2650.19,2577.16,2382.91,4316.29,2474.32, , , ,6,1814.29,1764.5,1774.77,3932.09,2499.98, , , ,6,1488.39,1535.19,1610.6,3641.4,2763.17, , , ,6,1418.55,1430.85,1550.44,3368.86,2603.4, , , ,6,1395.18,1407.22,1547.31,3574.31,2538.68, , , ,6,1399.96,1381.46,1533.98,3435.37,2474.75, , , ,6,1389.84,1368.06,1520.13,3434.39,2553.08, , , ,6,1388.49,1371.16,1524.84,3432.84,2503.7, , , ,6,1387.83,1373.97,1519.22,3433.37,2515.11, , , ,6,1389.56,1372.27,1520.09,3436.08,2499.92, , , ,6,1387.5,1372.89,1518.49,3434.97,2499.51, , , ,6,1388.79,1373.61,1518.33,3436.83,2500.38, , , ,
8,2526.6,2065.94,2039.14,3221.26,2269.75, , , ,8,1552.36,1416.33,1386.5,2809.7,1915.4, , , ,8,1232.73,1207.78,1330.84,2550.52,1959.25, , , ,8,1163.83,1157.01,1295.48,2731.76,2054.46, , , ,8,1135.31,1138.26,1308.6,2765.78,2186.61, , , ,8,1122.28,1114.4,1286.95,2778.13,2209.7, , , ,8,1117.47,1108.63,1284,2782.87,2208, , , ,8,1118.65,1109.12,1289.04,2784.26,2209.87, , , ,8,1122.98,1111.3,1293.95,2781.99,2221.78, , , ,8,1123.66,1110.93,1299.79,2784.11,2223.46, , , ,8,1125.1,1111.54,1294.9,2785,2225.91, , , ,8,1124.03,1113.02,1298.75,2784.7,2223.71, , , ,
