comm range: 4, , , , , , , , ,comm range: 8, , , , , , , , ,comm range: 12, , , , , , , , ,comm range: 16, , , , , , , , ,comm range: 20, , , , , , , , ,comm range: 24, , , , , , , , ,comm range: 28, , , , , , , , ,comm range: 32, , , , , , , , ,comm range: 36, , , , , , , , ,comm range: 40, , , , , , , , ,comm range: 44, , , , , , , , ,comm range: 48, , , , , , , , ,
 ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , , ,BSA-CM,SSB,BoB,MDFS,BnM, , , ,
2,10.45,14.85,21.5,854.05,354.9, , , ,2,4.45,5.5,18.95,1269.65,409.55, , , ,2,7.35,6.4,18.4,1027.9,122, , , ,2,4.1,6.4,18.2,1168,408.25, , , ,2,6.75,4.2,15.9,1105.95,411.9, , , ,2,4.8,3,17.6,1179.05,309.45, , , ,2,4.9,3.25,17.85,1220.7,55.35, , , ,2,5.2,3.35,17.85,1234.7,124.7, , , ,2,5.35,4.15,17.85,1320.05,91, , , ,2,4.95,4.75,17.85,1285.35,90.55, , , ,2,4.95,4.75,17.85,1283.35,90.4, , , ,2,4.95,4.75,17.85,1391.6,0.35, , , ,
4,206.8,162.95,112.65,1062.4,547.95, , , ,4,43.9,69.4,44.6,1004.85,558.05, , , ,4,31.9,17.55,36.1,982.55,360.1, , , ,4,63.25,28.4,32.85,885.5,253.7, , , ,4,18.7,28.75,27.8,890,149.75, , , ,4,18.35,25.7,27.45,960.85,174.9, , , ,4,17.25,24.95,32.1,978.95,88.3, , , ,4,18.55,24.65,36.75,984.35,92.15, , , ,4,17.55,26.35,34.5,1008.75,105.9, , , ,4,17.55,29.95,35.2,1008.75,105.9, , , ,4,17.65,30,35.2,1008.75,105.9, , , ,4,17.6,29.95,35.15,1008.75,105.9, , , ,
6,199.9,213.05,165.15,1213.95,575.05, , , ,6,100.05,75.85,93.45,1121.1,543.35, , , ,6,35.9,46.5,81.15,1004.2,536.45, , , ,6,25.85,33.45,69.8,910.55,366.2, , , ,6,29.7,34.75,67.1,988.8,276.5, , , ,6,34.95,31.15,58.05,939.55,194, , , ,6,38.5,26.9,55.95,937.55,221, , , ,6,38.35,27.8,55.5,937.55,191.45, , , ,6,38.35,27.4,52.95,937.55,198, , , ,6,36.75,27.05,53.1,937.55,199.45, , , ,6,36.9,27.35,53.15,937.55,199.45, , , ,6,36.9,27.35,53.15,937.55,199.45, , , ,
8,336.15,158.7,230.15,924.05,596.65, , , ,8,127.9,79.75,63.65,789.75,399.9, , , ,8,58.1,52.4,61.95,684.65,310.1, , , ,8,32.25,45.9,62.3,753.6,311, , , ,8,29.5,43.4,67.9,768.8,291.7, , , ,8,30.45,36.1,54.35,774.7,317.7, , , ,8,30.25,35.8,50.3,774.7,312.15, , , ,8,31.9,36.9,52.45,774.7,312.05, , , ,8,32.75,37.25,49.6,774.7,316.15, , , ,8,32.7,36.85,50.25,774.7,316.15, , , ,8,32.75,36.9,49,774.7,316.15, , , ,8,32.75,36.9,49.9,774.7,316.15, , , ,
